Var1,alert,orient,control
Lbankssts_1,1.653823,1.61517,-0.3555558
Lcaudalmiddlefrontal_1,-0.1061641,0.6539484,-2.276478
Lcuneus_1,-0.2926361,-0.03536311,0.5110261
Linferiorparietal_1,3.718566,3.840891,2.684479
Linferiortemporal_1,-0.802042,0.1680413,-0.8447139
Listhmuscingulate_1,0.1521828,0.5170839,-1.936736
Lmedialorbitofrontal_1,-0.3264591,0.0843466,-2.542911
Lparsorbitalis_1,-0.6719599,-0.3450427,-2.841871
Lposteriorcingulate_1,0.1569461,0.2353483,0.2443307
Lprecentral_1,0.8768579,0.5305218,-1.065897
Lsuperiorparietal_1,0.6252408,1.290819,0.4378653
Ltemporalpole_1,-0.2288676,-0.3687446,-0.947934
Lcaudalmiddlefrontal_2,1.120589,1.393179,1.154891
Lfusiform_2,3.204985,3.25667,3.018003
Linferiorparietal_3,0.5658632,1.061675,-2.763375
Linferiorparietal_4,1.036547,1.80619,-0.8219733
Linferiortemporal_2,-0.1732212,0.2921071,-0.8181688
Linferiortemporal_4,2.677028,2.159387,2.185225
Llateraloccipital_2,2.541019,3.532628,-0.4551116
Llateraloccipital_3,5.610657,6.006321,1.232068
Llateraloccipital_4,5.314949,5.425342,3.617656
Llingual_4,1.186738,1.599521,0.09386388
Lmiddletemporal_2,-0.2776017,0.1870815,-1.682118
Lpostcentral_5,0.9740745,0.7275524,1.432659
Lprecentral_3,1.31163,1.04206,1.22964
Lprecentral_4,1.413432,1.61937,1.540709
Lprecuneus_3,0.1708019,0.8972117,-0.9870366
Lsuperiorfrontal_3,-0.05689563,0.1462527,-2.995119
Lsuperiorparietal_2,2.6986,1.824508,4.190446
Lsuperiorparietal_7,0.8386731,0.7138186,-0.2750925
Lsupramarginal_2,0.8189734,1.517893,0.8186083
Lsupramarginal_3,0.9402512,1.306326,0.007677929
Lsupramarginal_4,-0.115185,0.4044747,-0.4050278
Lsupramarginal_5,1.313901,1.967816,3.218442
Lcaudalanteriorcingulate_1,0.2133988,0.4050684,1.364578
Lentorhinal_1,0.5116265,-0.1177363,-0.4939777
Lfusiform_1,4.310714,4.427935,-0.7077535
Llateraloccipital_1,2.985994,3.925246,-1.041226
Llateralorbitofrontal_1,-0.7437628,-0.5252521,-1.037854
Llingual_1,2.28426,2.547056,-0.8265272
Lmiddletemporal_1,2.102954,1.909943,-0.2885174
Lparahippocampal_1,0.2887292,0.9913968,-1.067033
Lparacentral_1,0.9109014,0.6876128,-1.448943
Lparsopercularis_1,0.1673059,0.4115061,0.5216593
Lparstriangularis_1,-0.5636601,-0.4806927,-1.320148
Lpericalcarine_1,1.482812,1.447586,2.941651
Lpostcentral_1,0.573117,0.5519468,-0.9498142
Lprecuneus_1,1.017745,1.531237,1.535181
Lrostralanteriorcingulate_1,-0.5230011,-0.3097635,-1.165555
Lrostralmiddlefrontal_1,0.7192039,0.9464519,0.5944475
Lsuperiorfrontal_1,-0.4075066,0.1471283,-2.368857
Lsuperiortemporal_1,0.3421208,1.415027,-0.3551823
Lsupramarginal_1,0.8033355,0.8846614,-0.332575
Lfrontalpole_1,0.3457826,0.7010043,-0.5146313
Ltransversetemporal_1,-0.040276,-0.2499782,0.7516366
Linsula_1,0.002348939,-0.01381604,-0.6554599
Lbankssts_2,0.944643,1.100343,-1.644112
Lcaudalmiddlefrontal_3,1.7698,2.7606,1.187373
Lfusiform_3,1.762454,1.922458,-0.55774
Lfusiform_4,0.1505389,0.5114951,-0.4713906
Linferiorparietal_2,2.142089,2.824685,-0.1002009
Linferiorparietal_5,-0.1013463,0.9271146,-0.79784
Linferiortemporal_3,0.3407228,0.6397953,-0.2286317
Llateraloccipital_5,4.463587,4.892485,0.1423199
Llateralorbitofrontal_2,-0.5814269,-0.3737622,0.6371752
Llateralorbitofrontal_3,-0.3294446,-0.6577139,-0.9313312
Llateralorbitofrontal_4,-0.1733416,-0.4698259,0.3108898
Llingual_2,0.3042519,0.6656235,0.05871431
Llingual_3,0.9989699,0.8903559,2.37844
Lmedialorbitofrontal_2,-0.1786183,-0.1295653,-1.664917
Lmiddletemporal_3,-0.2532156,0.9209453,-2.173344
Lmiddletemporal_4,-0.1773594,0.07367551,-2.149775
Lparacentral_2,0.6699694,0.8727042,-0.2858291
Lparsopercularis_2,0.2799767,0.1296161,0.1030602
Lpostcentral_2,0.3443357,0.2750413,0.1787816
Lpostcentral_3,0.921759,0.8979481,1.626074
Lpostcentral_4,0.2911294,0.7698955,0.2684128
Lpostcentral_6,0.7729199,0.7798694,-0.8487281
Lpostcentral_7,-0.1587129,0.1947127,-0.6900736
Lposteriorcingulate_2,0.1442596,0.3230657,-0.571685
Lprecentral_2,1.591194,1.589664,2.069044
Lprecentral_5,3.158014,3.311917,3.163217
Lprecentral_6,0.7571038,0.8019323,-0.1266571
Lprecentral_7,1.927397,2.059137,2.976769
Lprecentral_8,0.2086946,0.4563166,-0.02477018
Lprecuneus_2,0.1055983,0.5080347,-0.8889933
Lprecuneus_4,0.06611976,1.052026,-0.375495
Lprecuneus_5,0.7513106,0.7725612,-0.3881747
Lrostralmiddlefrontal_2,-0.06876073,0.7343588,0.1089162
Lrostralmiddlefrontal_3,-0.421875,0.2312296,-0.1275358
Lrostralmiddlefrontal_4,-0.8522055,-0.3048588,0.2262053
Lrostralmiddlefrontal_5,-0.8705488,-0.6851009,-0.4654672
Lrostralmiddlefrontal_6,-0.01469246,0.00331982,-0.2156986
Lsuperiorfrontal_2,-0.7474944,0.1769386,-0.7330786
Lsuperiorfrontal_4,-0.2292157,0.4614876,1.070855
Lsuperiorfrontal_5,-0.7624968,0.03803095,-1.294274
Lsuperiorfrontal_6,-0.01363828,0.8301687,-0.6803291
Lsuperiorfrontal_7,0.4088533,0.6025953,1.042819
Lsuperiorfrontal_8,1.014498,1.313668,1.634821
Lsuperiorfrontal_9,1.728743,2.009479,2.321856
Lsuperiorparietal_3,3.064308,3.329521,5.183833
Lsuperiorparietal_4,2.613946,2.235915,3.673531
Lsuperiorparietal_5,2.157279,1.775588,4.083008
Lsuperiorparietal_6,3.275749,3.532385,3.423707
Lsuperiortemporal_2,-0.2279454,-0.1024394,-0.3754871
Lsuperiortemporal_3,0.04356796,0.2715407,-0.693697
Lsuperiortemporal_4,-0.06882514,-0.2047806,-0.5381984
Lsuperiortemporal_5,-0.3735745,0.3535205,-1.246084
Linsula_2,-0.3316643,-0.4909194,-0.7094127
Linsula_3,-0.6995292,-0.4150945,1.082944
Linsula_4,0.2345208,-0.5177422,2.639615
Rbankssts_1,-0.1682629,2.364233,3.037013
Rcaudalanteriorcingulate_1,2.361602,0.4864797,0.8810493
Rcaudalmiddlefrontal_1,4.094238,3.430953,4.744229
Rfusiform_1,-1.510113,2.903111,2.764535
Rinferiortemporal_1,-0.3415858,0.284464,1.030353
Risthmuscingulate_1,-1.500516,-1.202466,-0.8433579
Rmedialorbitofrontal_1,-2.258686,-1.309181,-1.276469
Rparstriangularis_1,2.393919,2.31798,2.98555
Rprecentral_1,-0.1754543,0.1459412,-0.07014944
Rprecuneus_1,0.8850061,0.7420505,1.447792
Rsuperiortemporal_1,-0.3839136,-0.6138607,0.0974495
Rtransversetemporal_1,0.3133554,-0.29149,-0.5259899
Rcaudalmiddlefrontal_3,0.5884411,0.9153421,2.07751
Rfusiform_3,0.2866285,1.146587,0.8457301
Rinferiorparietal_4,-0.8391783,-0.1052234,1.502683
Rinferiorparietal_5,0.2490938,3.214131,3.851809
Rinferiortemporal_3,0.2607749,1.206906,1.572185
Rlateraloccipital_2,0.4362686,2.818532,2.661533
Rlateraloccipital_3,-1.172784,-1.101456,-0.8763847
Rlateraloccipital_5,3.229108,1.664811,2.017178
Rlateralorbitofrontal_3,-0.4898814,-0.4449983,0.03714001
Rmedialorbitofrontal_3,-0.7007893,-0.548245,-0.4471901
Rmiddletemporal_3,-1.082202,0.109703,0.7767115
Rpericalcarine_2,1.315552,3.680828,3.71075
Rposteriorcingulate_2,0.5807394,0.4861032,0.5493293
Rprecentral_2,2.568218,1.66709,2.068201
Rprecuneus_3,0.2585601,0.02415727,0.5515352
Rsuperiorfrontal_2,-1.018972,-0.4554394,0.2024492
Rsuperiorparietal_2,-0.2344151,0.7939779,0.5881814
Rsuperiorparietal_7,-0.620658,1.692602,1.096046
Rsuperiortemporal_5,-0.7920459,-0.1993274,0.7069649
Rsupramarginal_2,1.337389,2.858804,4.332206
Rsupramarginal_3,0.6348301,2.205452,1.899671
Rsupramarginal_4,-1.077809,0.4747145,0.3870925
Rcuneus_1,1.413664,1.769937,1.566022
Rentorhinal_1,0.12154,0.0775871,0.2058299
Rinferiorparietal_1,2.141826,2.605895,3.196059
Rlateraloccipital_1,-1.940213,0.9530903,1.479127
Rlateralorbitofrontal_1,0.05240195,0.05212523,0.5689952
